K,M,N,dtype,gate_triggered,hbl_med,hbl_pass_a,hbl_pass_b,misaligned,n,n_pad,ratio_base,ratio_delta,ratio_pad,rel_err,speedup_pad_vs_base,tb_base_med,tb_pad_med
4096,4096,64,bf16,0,2.7767999097704888e-05,3.514649905264378e-05,2.7767999097704888e-05,0,30,64,0.089859130292635,0.000924679996037403,0.0907838102886724,0.0,1.01029032879604,0.00030901700258255003,0.0003058695048093796
8192,4096,64,bf16,0,3.0675499700009825e-05,4.382750019431114e-05,3.0675499700009825e-05,0,30,64,0.08956376353785314,0.0008681530786174702,0.09043191661647061,0.0,1.0096931286083188,0.00034249900281429287,0.00033921098709106443
16384,4096,64,bf16,0,4.4709499925374984e-05,6.229249946773053e-05,4.4709499925374984e-05,0,30,64,0.11060944496718807,-0.0026454768350142044,0.10796396813217386,0.0,0.9760827220876213,0.00040421050786972046,0.0004141150116920471
4096,4096,128,bf16,0,4.1321000084280964e-05,4.234400019049644e-05,4.1321000084280964e-05,0,30,128,0.14155147956486555,-0.0006965208297518011,0.14085495873511375,0.0,0.9950793814950368,0.0002919149994850159,0.00029335850477218625
8192,4096,128,bf16,0,4.041900113224983e-05,5.555650033056736e-05,4.041900113224983e-05,0,30,128,0.13080710297530865,-0.0034863214747570537,0.1273207815005516,0.0,0.9733476134287972,0.0003089969903230667,0.00031745800375938414
16384,4096,128,bf16,0,6.433750316500664e-05,7.895400002598762e-05,6.433750316500664e-05,0,30,128,0.19079583996331867,-0.01744923976733692,0.17334660019598175,0.0,0.9085449673814081,0.0003372060060501099,0.0003711494952440262
4096,4096,48,bf16,1,3.480549901723861e-05,3.480549901723861e-05,5.2067499607801434e-05,1,30,64,0.11645620191413843,-0.018315505729405365,0.09814069618473306,0.0,0.84272623159298,0.00029887200891971587,0.00035464899241924286
8192,4096,48,bf16,1,3.6589499562978744e-05,4.468949884176254e-05,3.6589499562978744e-05,1,30,64,0.11141595027654115,-0.016205675361051386,0.09521027491548976,0.0,0.8545479770102223,0.00032840450108051304,0.0003843020051717758
4096,4096,80,bf16,1,4.128099977970123e-05,4.128099977970123e-05,5.687900073826313e-05,1,30,128,0.14414662623327995,-0.02801603646136336,0.11613058977191659,0.0,0.805642093793971,0.0002863820046186447,0.0003554705083370209
8192,4096,80,bf16,1,5.671900138258934e-05,5.671900138258934e-05,6.145050004124641e-05,1,30,128,0.18914246289188502,-0.033394840925653146,0.15574762196623188,0.0,0.8234408053323179,0.0002998744994401932,0.00036417250335216524
4096,4096,192,bf16,1,4.519100114703178e-05,4.519100114703178e-05,5.6819001212716104e-05,1,30,256,0.15149996475660804,-0.025118262452362344,0.1263817023042457,0.0,0.8342028495338858,0.00029829050600528714,0.0003575755059719086
8192,4096,192,bf16,1,5.47534991055727e-05,6.838750094175338e-05,5.47534991055727e-05,1,30,256,0.17741597867557973,-0.035289171937233466,0.14212680673834627,0.0,0.8010936094895785,0.000308616504073143,0.0003852439969778061
