m,n,k,a_dtype,b_dtype,c_dtype,source
1,1280,8192,bf16,bf16,bf16,K-169
1,8192,1024,bf16,bf16,bf16,K-169
1,8192,8192,bf16,bf16,bf16,K-169
1,8192,32768,bf16,bf16,bf16,K-169
1,12288,12288,bf16,bf16,bf16,K-169
1,32768,8192,bf16,bf16,bf16,K-169
4,8192,8192,bf16,bf16,bf16,K-169
4,12288,12288,bf16,bf16,bf16,K-169
16,8192,8192,bf16,bf16,bf16,K-169
16,12288,12288,bf16,bf16,bf16,K-169
64,1280,8192,bf16,bf16,bf16,K-169
64,8192,1024,bf16,bf16,bf16,K-169
64,8192,8192,bf16,bf16,bf16,K-169
64,12288,12288,bf16,bf16,bf16,K-169
128,128,256,bf16,bf16,bf16,K-169
128,128,512,bf16,bf16,bf16,K-169
128,128,1024,bf16,bf16,bf16,K-169
128,128,2048,bf16,bf16,bf16,K-169
128,128,4096,bf16,bf16,bf16,K-169
128,256,256,bf16,bf16,bf16,K-169
128,256,512,bf16,bf16,bf16,K-169
128,256,1024,bf16,bf16,bf16,K-169
128,256,2048,bf16,bf16,bf16,K-169
128,256,4096,bf16,bf16,bf16,K-169
128,512,256,bf16,bf16,bf16,K-169
128,512,512,bf16,bf16,bf16,K-169
128,512,1024,bf16,bf16,bf16,K-169
128,512,2048,bf16,bf16,bf16,K-169
128,512,4096,bf16,bf16,bf16,K-169
128,1024,256,bf16,bf16,bf16,K-169
128,1024,512,bf16,bf16,bf16,K-169
128,1024,1024,bf16,bf16,bf16,K-169
128,1024,2048,bf16,bf16,bf16,K-169
128,1024,4096,bf16,bf16,bf16,K-169
128,1280,8192,bf16,bf16,bf16,K-169
128,2048,256,bf16,bf16,bf16,K-169
128,2048,512,bf16,bf16,bf16,K-169
128,2048,1024,bf16,bf16,bf16,K-169
128,2048,2048,bf16,bf16,bf16,K-169
128,2048,4096,bf16,bf16,bf16,K-169
128,4096,256,bf16,bf16,bf16,K-169
128,4096,512,bf16,bf16,bf16,K-169
128,4096,1024,bf16,bf16,bf16,K-169
128,4096,2048,bf16,bf16,bf16,K-169
128,4096,4096,bf16,bf16,bf16,K-169
128,8192,1024,bf16,bf16,bf16,K-169
128,8192,8192,bf16,bf16,bf16,K-169
128,8192,32768,bf16,bf16,bf16,K-169
128,12288,12288,bf16,bf16,bf16,K-169
128,32768,8192,bf16,bf16,bf16,K-169
256,128,256,bf16,bf16,bf16,K-169
256,128,512,bf16,bf16,bf16,K-169
256,128,1024,bf16,bf16,bf16,K-169
256,128,2048,bf16,bf16,bf16,K-169
256,128,4096,bf16,bf16,bf16,K-169
256,256,256,bf16,bf16,bf16,K-169
256,256,512,bf16,bf16,bf16,K-169
256,256,1024,bf16,bf16,bf16,K-169
256,256,2048,bf16,bf16,bf16,K-169
256,256,4096,bf16,bf16,bf16,K-169
256,512,256,bf16,bf16,bf16,K-169
256,512,512,bf16,bf16,bf16,K-169
256,512,1024,bf16,bf16,bf16,K-169
256,512,2048,bf16,bf16,bf16,K-169
256,512,4096,bf16,bf16,bf16,K-169
256,1024,256,bf16,bf16,bf16,K-169
256,1024,512,bf16,bf16,bf16,K-169
256,1024,1024,bf16,bf16,bf16,K-169
256,1024,2048,bf16,bf16,bf16,K-169
256,1024,4096,bf16,bf16,bf16,K-169
256,1280,8192,bf16,bf16,bf16,K-169
256,2048,256,bf16,bf16,bf16,K-169
256,2048,512,bf16,bf16,bf16,K-169
256,2048,1024,bf16,bf16,bf16,K-169
256,2048,2048,bf16,bf16,bf16,K-169
256,2048,4096,bf16,bf16,bf16,K-169
256,4096,256,bf16,bf16,bf16,K-169
256,4096,512,bf16,bf16,bf16,K-169
256,4096,1024,bf16,bf16,bf16,K-169
256,4096,2048,bf16,bf16,bf16,K-169
256,4096,4096,bf16,bf16,bf16,K-169
256,8192,1024,bf16,bf16,bf16,K-169
256,8192,8192,bf16,bf16,bf16,K-169
256,8192,32768,bf16,bf16,bf16,K-169
256,12288,12288,bf16,bf16,bf16,K-169
256,32768,8192,bf16,bf16,bf16,K-169
384,128,256,bf16,bf16,bf16,K-169
384,128,512,bf16,bf16,bf16,K-169
384,128,1024,bf16,bf16,bf16,K-169
384,128,2048,bf16,bf16,bf16,K-169
384,128,4096,bf16,bf16,bf16,K-169
384,256,256,bf16,bf16,bf16,K-169
384,256,512,bf16,bf16,bf16,K-169
384,256,1024,bf16,bf16,bf16,K-169
384,256,2048,bf16,bf16,bf16,K-169
384,256,4096,bf16,bf16,bf16,K-169
384,512,256,bf16,bf16,bf16,K-169
384,512,512,bf16,bf16,bf16,K-169
384,512,1024,bf16,bf16,bf16,K-169
384,512,2048,bf16,bf16,bf16,K-169
384,512,4096,bf16,bf16,bf16,K-169
384,1024,256,bf16,bf16,bf16,K-169
384,1024,512,bf16,bf16,bf16,K-169
384,1024,1024,bf16,bf16,bf16,K-169
384,1024,2048,bf16,bf16,bf16,K-169
384,1024,4096,bf16,bf16,bf16,K-169
384,2048,256,bf16,bf16,bf16,K-169
384,2048,512,bf16,bf16,bf16,K-169
384,2048,1024,bf16,bf16,bf16,K-169
384,2048,2048,bf16,bf16,bf16,K-169
384,2048,4096,bf16,bf16,bf16,K-169
384,4096,256,bf16,bf16,bf16,K-169
384,4096,512,bf16,bf16,bf16,K-169
384,4096,1024,bf16,bf16,bf16,K-169
384,4096,2048,bf16,bf16,bf16,K-169
384,4096,4096,bf16,bf16,bf16,K-169
512,128,256,bf16,bf16,bf16,K-169
512,128,512,bf16,bf16,bf16,K-169
512,128,1024,bf16,bf16,bf16,K-169
512,128,2048,bf16,bf16,bf16,K-169
512,128,4096,bf16,bf16,bf16,K-169
512,256,256,bf16,bf16,bf16,K-169
512,256,512,bf16,bf16,bf16,K-169
512,256,1024,bf16,bf16,bf16,K-169
512,256,2048,bf16,bf16,bf16,K-169
512,256,4096,bf16,bf16,bf16,K-169
512,512,256,bf16,bf16,bf16,K-169
512,512,512,bf16,bf16,bf16,K-169
512,512,1024,bf16,bf16,bf16,K-169
512,512,2048,bf16,bf16,bf16,K-169
512,512,4096,bf16,bf16,bf16,K-169
512,1024,256,bf16,bf16,bf16,K-169
512,1024,512,bf16,bf16,bf16,K-169
512,1024,1024,bf16,bf16,bf16,K-169
512,1024,2048,bf16,bf16,bf16,K-169
512,1024,4096,bf16,bf16,bf16,K-169
512,1280,8192,bf16,bf16,bf16,K-169
512,2048,256,bf16,bf16,bf16,K-169
512,2048,512,bf16,bf16,bf16,K-169
512,2048,1024,bf16,bf16,bf16,K-169
512,2048,2048,bf16,bf16,bf16,K-169
512,2048,4096,bf16,bf16,bf16,K-169
512,4096,256,bf16,bf16,bf16,K-169
512,4096,512,bf16,bf16,bf16,K-169
512,4096,1024,bf16,bf16,bf16,K-169
512,4096,2048,bf16,bf16,bf16,K-169
512,4096,4096,bf16,bf16,bf16,K-169
512,8192,1024,bf16,bf16,bf16,K-169
512,8192,8192,bf16,bf16,bf16,K-169
512,8192,32768,bf16,bf16,bf16,K-169
512,12288,12288,bf16,bf16,bf16,K-169
512,32768,8192,bf16,bf16,bf16,K-169
768,128,256,bf16,bf16,bf16,K-169
