GEMMID,m,n,k,lda,stride_a,ldb,stride_b,ldc,stride_c,batch_count
0,8192,16,16,16,131072,16,256,16,131072,1
1,128,64,128,128,16384,128,8192,64,8192,1
2,32,16,4096,4096,131072,4096,65536,16,512,1
3,16,4096,1024,1024,16384,1024,4194304,4096,65536,1
4,1,1,32,32,32,32,32,1,1,1
5,64,64,4096,4096,262144,4096,262144,64,4096,1
6,4096,1,4096,4096,16777216,4096,4096,1,4096,1
7,64,8192,4096,4096,262144,4096,33554432,8192,524288,1
8,512,64,2048,2048,1048576,2048,131072,64,32768,1
9,4096,128,16,16,65536,16,2048,128,524288,1
10,32,512,512,512,16384,512,262144,512,16384,1
11,128,32,128,128,16384,128,4096,32,4096,1
12,256,16,32,32,8192,32,512,16,4096,1
13,512,16,512,512,262144,512,8192,16,8192,1
14,256,4096,256,256,65536,256,1048576,4096,1048576,1
15,1,1024,4096,4096,4096,4096,4194304,1024,1024,1
16,16,512,32,32,512,32,16384,512,8192,1
17,2048,128,8192,8192,16777216,8192,1048576,128,262144,1
18,256,4096,128,128,32768,128,524288,4096,1048576,1
19,16,1,128,128,2048,128,128,1,16,1
20,128,16,128,128,16384,128,2048,16,2048,1
21,16,512,256,256,4096,256,131072,512,8192,1
22,1024,8192,512,512,524288,512,4194304,8192,8388608,1
23,32,256,512,512,16384,512,131072,256,8192,1
24,64,8192,256,256,16384,256,2097152,8192,524288,1
25,8192,8192,32,32,262144,32,262144,8192,67108864,1
26,4096,8192,64,64,262144,64,524288,8192,33554432,1
27,2048,64,64,64,131072,64,4096,64,131072,1
28,1024,512,256,256,262144,256,131072,512,524288,1
29,8192,2048,128,128,1048576,128,262144,2048,16777216,1
30,8192,256,16,16,131072,16,4096,256,2097152,1
31,64,1,512,512,32768,512,512,1,64,1
32,512,128,32,32,16384,32,4096,128,65536,1
33,64,4096,512,512,32768,512,2097152,4096,262144,1
34,64,8192,2048,2048,131072,2048,16777216,8192,524288,1
35,512,8192,2048,2048,1048576,2048,16777216,8192,4194304,1
36,32,128,64,64,2048,64,8192,128,4096,1
37,64,2048,4096,4096,262144,4096,8388608,2048,131072,1
38,128,4096,1024,1024,131072,1024,4194304,4096,524288,1
39,4096,512,512,512,2097152,512,262144,512,2097152,1
40,64,32,4096,4096,262144,4096,131072,32,2048,1
41,1024,16,16,16,16384,16,256,16,16384,1
42,16,32,64,64,1024,64,2048,32,512,1
43,8192,512,8192,8192,67108864,8192,4194304,512,4194304,1
44,16,512,1024,1024,16384,1024,524288,512,8192,1
45,4096,1024,4096,4096,16777216,4096,4194304,1024,4194304,1
46,128,2048,16,16,2048,16,32768,2048,262144,1
47,8192,16,4096,4096,33554432,4096,65536,16,131072,1
48,128,8192,512,512,65536,512,4194304,8192,1048576,1
49,16,128,1024,1024,16384,1024,131072,128,2048,1
50,32,1024,16,16,512,16,16384,1024,32768,1
51,128,2048,64,64,8192,64,131072,2048,262144,1
52,2048,16,256,256,524288,256,4096,16,32768,1
53,8192,2048,8192,8192,67108864,8192,16777216,2048,16777216,1
54,64,32,512,512,32768,512,16384,32,2048,1
55,32,2048,4096,4096,131072,4096,8388608,2048,65536,1
56,1,4096,512,512,512,512,2097152,4096,4096,1
57,1024,1,32,32,32768,32,32,1,1024,1
58,256,128,128,128,32768,128,16384,128,32768,1
59,1,64,8192,8192,8192,8192,524288,64,64,1
60,16,16,2048,2048,32768,2048,32768,16,256,1
61,16,2048,64,64,1024,64,131072,2048,32768,1
62,32,8192,2048,2048,65536,2048,16777216,8192,262144,1
63,2048,32,256,256,524288,256,8192,32,65536,1
64,2048,4096,1024,1024,2097152,1024,4194304,4096,8388608,1
65,64,2048,128,128,8192,128,262144,2048,131072,1
66,128,512,512,512,65536,512,262144,512,65536,1
67,1024,2048,2048,2048,2097152,2048,4194304,2048,2097152,1
68,16,64,128,128,2048,128,8192,64,1024,1
69,16,256,16,16,256,16,4096,256,4096,1
70,4096,2048,128,128,524288,128,262144,2048,8388608,1
71,4096,64,16,16,65536,16,1024,64,262144,1
72,16,8192,16,16,256,16,131072,8192,131072,1
73,64,16,16,16,1024,16,256,16,1024,1
74,256,16,4096,4096,1048576,4096,65536,16,4096,1
75,64,128,2048,2048,131072,2048,262144,128,8192,1
76,64,2048,64,64,4096,64,131072,2048,131072,1
77,4096,4096,2048,2048,8388608,2048,8388608,4096,16777216,1
78,64,1024,1024,1024,65536,1024,1048576,1024,65536,1
79,64,16,32,32,2048,32,512,16,1024,1
80,8192,512,512,512,4194304,512,262144,512,4194304,1
81,512,512,2048,2048,1048576,2048,1048576,512,262144,1
82,1,8192,32,32,32,32,262144,8192,8192,1
83,1,512,512,512,512,512,262144,512,512,1
84,64,2048,2048,2048,131072,2048,4194304,2048,131072,1
85,32,512,64,64,2048,64,32768,512,16384,1
86,128,1024,128,128,16384,128,131072,1024,131072,1
87,16,1024,4096,4096,65536,4096,4194304,1024,16384,1
88,16,1,4096,4096,65536,4096,4096,1,16,1
89,1,16,128,128,128,128,2048,16,16,1
90,32,512,2048,2048,65536,2048,1048576,512,16384,1
91,1024,64,1024,1024,1048576,1024,65536,64,65536,1
92,1,32,1024,1024,1024,1024,32768,32,32,1
93,1,512,256,256,256,256,131072,512,512,1
94,1024,128,1024,1024,1048576,1024,131072,128,131072,1
95,2048,8192,2048,2048,4194304,2048,16777216,8192,16777216,1
96,32,64,256,256,8192,256,16384,64,2048,1
97,64,1,8192,8192,524288,8192,8192,1,64,1
98,2048,1,512,512,1048576,512,512,1,2048,1
99,1,1,8192,8192,8192,8192,8192,1,1,1
100,1024,2048,4096,4096,4194304,4096,8388608,2048,2097152,1
101,32,1,4096,4096,131072,4096,4096,1,32,1
102,16,32,32,32,512,32,1024,32,512,1
103,4096,16,128,128,524288,128,2048,16,65536,1
104,512,16,8192,8192,4194304,8192,131072,16,8192,1
105,64,4096,8192,8192,524288,8192,33554432,4096,262144,1
106,1,4096,32,32,32,32,131072,4096,4096,1
107,512,8192,8192,8192,4194304,8192,67108864,8192,4194304,1
108,4096,2048,512,512,2097152,512,1048576,2048,8388608,1
109,128,64,512,512,65536,512,32768,64,8192,1
110,64,128,1024,1024,65536,1024,131072,128,8192,1
111,32,8192,256,256,8192,256,2097152,8192,262144,1
112,1024,256,32,32,32768,32,8192,256,262144,1
113,1,1024,8192,8192,8192,8192,8388608,1024,1024,1
114,4096,16,32,32,131072,32,512,16,65536,1
115,2048,64,4096,4096,8388608,4096,262144,64,131072,1
116,128,32,512,512,65536,512,16384,32,4096,1
117,16,64,512,512,8192,512,32768,64,1024,1
118,128,32,2048,2048,262144,2048,65536,32,4096,1
119,8192,2048,16,16,131072,16,32768,2048,16777216,1
120,8192,2048,256,256,2097152,256,524288,2048,16777216,1
121,8192,16,64,64,524288,64,1024,16,131072,1
122,128,16,32,32,4096,32,512,16,2048,1
123,128,4096,128,128,16384,128,524288,4096,524288,1
124,256,64,256,256,65536,256,16384,64,16384,1
125,2048,1024,256,256,524288,256,262144,1024,2097152,1
126,1,16,1024,1024,1024,1024,16384,16,16,1
127,128,1,16,16,2048,16,16,1,128,1
128,256,32,256,256,65536,256,8192,32,8192,1
129,32,1024,4096,4096,131072,4096,4194304,1024,32768,1
130,512,2048,16,16,8192,16,32768,2048,1048576,1
131,16,16,64,64,1024,64,1024,16,256,1
132,4096,2048,64,64,262144,64,131072,2048,8388608,1
133,512,32,16,16,8192,16,512,32,16384,1
134,128,256,16,16,2048,16,4096,256,32768,1
135,256,64,128,128,32768,128,8192,64,16384,1
136,8192,16,512,512,4194304,512,8192,16,131072,1
137,2048,512,8192,8192,16777216,8192,4194304,512,1048576,1
138,32,64,64,64,2048,64,4096,64,2048,1
139,32,512,16,16,512,16,8192,512,16384,1
140,32,256,1024,1024,32768,1024,262144,256,8192,1
141,8192,64,256,256,2097152,256,16384,64,524288,1
142,32,16,1024,1024,32768,1024,16384,16,512,1
143,1,1024,128,128,128,128,131072,1024,1024,1
144,64,1024,512,512,32768,512,524288,1024,65536,1
145,1,8192,128,128,128,128,1048576,8192,8192,1
146,512,256,256,256,131072,256,65536,256,131072,1
147,16,128,512,512,8192,512,65536,128,2048,1
148,8192,2048,1024,1024,8388608,1024,2097152,2048,16777216,1
149,8192,2048,512,512,4194304,512,1048576,2048,16777216,1
150,1,16,256,256,256,256,4096,16,16,1
151,32,4096,256,256,8192,256,1048576,4096,131072,1
