KernelID,BLOCK_SIZE_M,BLOCK_SIZE_N,BLOCK_SIZE_K,GROUP_SIZE_M,num_warps,num_stages,waves_per_eu,matrix_instr_nonkdim,kpack,CHUNK_SIZE,NUM_SMS
0,64,64,128,8,2,3,0,32,2,0,0
1,128,16,128,4,8,1,1,16,1,0,0
2,128,256,256,1,1,3,0,32,1,0,0
3,16,64,128,4,2,3,1,32,2,0,0
4,64,128,64,1,8,0,2,16,2,0,0
5,32,16,16,1,2,1,0,16,1,0,0
6,32,128,16,16,2,3,2,32,2,0,0
7,32,256,256,1,2,2,0,16,2,0,0
8,256,128,128,2,1,4,2,16,1,0,0
9,64,256,16,16,1,2,2,32,2,0,0
10,16,256,64,1,8,3,0,32,2,0,0
11,128,32,128,2,4,4,2,32,2,0,0
12,128,256,64,4,2,0,1,32,1,0,0
13,128,256,256,8,4,0,1,32,1,0,0
14,128,32,64,4,4,2,2,32,1,0,0
15,256,32,16,2,8,3,2,16,2,0,0
16,128,128,16,1,4,1,1,16,2,0,0
17,256,64,128,16,4,3,2,32,2,0,0
18,128,64,64,4,2,0,2,16,2,0,0
19,16,256,32,2,2,3,1,32,1,0,0
20,32,64,32,4,2,2,0,16,2,0,0
21,16,16,256,4,2,3,0,16,2,0,0
22,128,128,128,4,2,0,1,32,1,0,0
23,16,128,128,1,1,1,0,32,1,0,0
24,32,16,256,8,2,4,1,32,2,0,0
25,64,256,128,4,1,4,2,16,1,0,0
26,32,64,16,2,2,1,2,16,1,0,0
27,16,128,128,16,8,2,0,16,2,0,0
28,64,128,16,2,4,4,2,16,2,0,0
29,16,256,32,2,4,1,0,16,1,0,0
30,64,256,256,4,8,0,1,32,2,0,0
31,64,256,256,8,8,0,2,16,2,0,0
32,64,256,64,1,1,1,2,16,2,0,0
33,256,16,32,8,8,2,0,32,2,0,0
34,16,128,64,8,4,2,2,16,1,0,0
35,64,128,128,4,8,4,0,32,1,0,0
36,64,64,64,1,8,4,0,32,2,0,0
37,16,32,256,4,8,3,0,16,2,0,0
38,256,32,64,8,8,0,0,16,1,0,0
39,64,256,16,16,8,0,0,16,2,0,0
40,16,32,128,4,4,3,1,32,1,0,0
41,128,256,32,8,2,4,2,16,1,0,0
42,64,128,64,16,4,0,1,32,2,0,0
43,32,128,256,8,4,2,2,32,2,0,0
44,64,32,32,16,8,1,1,16,2,0,0
45,128,128,128,2,8,0,0,32,1,0,0
46,128,16,256,8,1,1,1,16,1,0,0
47,128,64,64,16,8,0,1,32,2,0,0
48,128,256,16,16,1,1,2,32,1,0,0
49,16,128,16,1,8,1,2,32,1,0,0
50,16,64,16,4,4,2,1,16,1,0,0
51,256,128,256,2,2,1,0,32,1,0,0
52,128,256,32,2,8,2,1,32,1,0,0
53,128,64,256,2,1,3,1,32,2,0,0
54,64,128,64,2,8,3,0,16,2,0,0
55,256,64,256,4,4,0,2,32,2,0,0
56,16,256,16,16,8,2,0,32,1,0,0
57,32,256,64,2,1,0,1,32,1,0,0
58,256,64,32,1,4,2,2,32,1,0,0
59,32,32,256,4,4,1,1,32,2,0,0
60,64,16,128,1,2,1,2,32,2,0,0
61,16,128,16,4,1,3,1,32,2,0,0
62,64,16,32,8,1,4,2,32,1,0,0
63,16,128,64,8,1,1,0,16,2,0,0
64,128,16,16,2,2,3,1,32,2,0,0
65,256,32,128,1,8,4,1,32,1,0,0
66,64,32,128,8,2,2,0,32,2,0,0
67,16,128,64,2,1,3,0,16,1,0,0
68,16,64,32,2,2,0,2,16,1,0,0
69,32,64,32,16,1,2,0,16,2,0,0
70,32,16,16,2,1,2,0,32,1,0,0
71,32,64,16,2,8,4,0,16,2,0,0
72,128,64,256,16,1,3,2,16,1,0,0
73,256,64,128,1,1,3,1,32,1,0,0
74,128,128,16,1,4,4,0,16,1,0,0
75,64,256,256,16,4,3,2,32,2,0,0
76,256,256,128,1,1,4,2,16,2,0,0
77,128,32,128,4,8,3,1,16,2,0,0
78,128,64,64,4,2,3,0,16,1,0,0
79,16,128,16,4,2,4,0,32,1,0,0
80,128,64,128,1,4,4,1,32,1,0,0
81,256,256,32,2,8,1,0,32,2,0,0
82,16,64,256,2,8,4,2,16,2,0,0
83,16,32,64,4,4,2,0,16,1,0,0
84,256,128,16,2,1,0,2,16,2,0,0
85,128,128,64,2,4,2,2,32,1,0,0
86,16,32,32,16,1,0,1,32,2,0,0
87,128,256,128,8,4,1,2,16,2,0,0
88,128,16,64,16,8,4,2,32,1,0,0
89,32,128,256,1,1,1,1,16,1,0,0
90,64,64,64,1,1,3,2,32,1,0,0
91,32,128,256,2,4,0,1,16,2,0,0
92,16,128,16,4,8,4,1,32,2,0,0
93,16,128,16,4,2,4,1,32,1,0,0
94,128,16,32,8,8,4,0,32,2,0,0
95,64,32,64,2,1,4,2,16,1,0,0
96,64,64,32,2,1,1,1,16,1,0,0
97,256,32,16,2,8,3,2,32,2,0,0
98,64,32,128,1,8,3,2,32,2,0,0
99,256,16,64,16,1,2,1,32,1,0,0
