GEMMID,KernelID,EFF,us
0,47,0.50207,0.03
0,36,0.736759,0.02
0,9,0.546112,0.03
0,82,0.954475,0.02
0,11,0.440572,0.04
0,78,0.774942,0.02
0,76,0.690948,0.02
0,64,0.354608,0.05
0,49,0.576151,0.03
0,59,0.708873,0.02
0,74,0.772928,0.02
0,70,0.878128,0.02
0,5,0.860553,0.02
0,57,0.677858,0.02
0,73,0.942568,0.02
0,83,0.776033,0.02
0,24,0.57348,0.03
0,41,0.575064,0.03
0,77,0.726521,0.02
0,60,0.433557,0.04
0,92,0.349019,0.05
0,19,0.415226,0.04
0,7,0.691297,0.02
0,86,0.471107,0.03
0,13,1.0,0.02
0,43,0.913984,0.02
0,10,0.616298,0.03
1,10,0.435014,0.02
1,2,0.407172,0.02
1,32,1.0,0.01
1,27,0.375238,0.03
1,19,0.765384,0.01
1,70,0.308312,0.03
1,93,0.613878,0.02
1,77,0.185654,0.05
1,67,0.615676,0.02
1,54,0.783125,0.01
1,14,0.328356,0.03
1,99,0.718295,0.01
1,36,0.90891,0.01
1,30,0.478873,0.02
1,38,0.204858,0.05
1,15,0.50536,0.02
1,6,0.637705,0.02
1,53,0.413907,0.02
1,81,0.493552,0.02
1,79,0.820077,0.01
2,16,0.408613,0.07
2,8,0.821942,0.03
2,30,0.447165,0.06
2,82,0.508829,0.06
2,46,0.90827,0.03
2,95,0.757975,0.04
2,49,0.713404,0.04
2,72,0.454145,0.06
2,4,0.745887,0.04
2,77,0.412682,0.07
2,19,1.0,0.03
2,86,0.608059,0.05
2,57,0.787598,0.04
2,47,0.670792,0.04
2,88,0.674712,0.04
2,56,0.401051,0.07
2,9,0.722381,0.04
2,73,0.507301,0.06
2,17,0.265259,0.11
2,67,0.706081,0.04
2,94,0.496378,0.06
2,50,0.908747,0.03
2,40,0.57975,0.05
2,35,0.483381,0.06
3,97,0.87336,0.63
3,47,0.567707,0.97
3,65,0.494918,1.11
3,71,0.773984,0.71
3,13,0.376218,1.46
3,40,0.911575,0.6
3,30,0.502898,1.09
3,59,0.716279,0.77
3,15,0.33455,1.64
3,34,0.638101,0.86
3,57,0.71562,0.77
3,31,0.280692,1.96
3,18,0.81105,0.68
3,12,0.498992,1.1
3,6,0.788928,0.7
3,37,0.37257,1.48
3,49,0.653121,0.84
3,78,0.646152,0.85
3,53,0.723534,0.76
3,88,0.59544,0.92
3,20,0.372119,1.48
3,41,0.780966,0.7
3,73,0.172726,3.18
3,94,0.649084,0.85
3,24,0.743623,0.74
3,79,0.707403,0.78
3,63,0.633957,0.87
3,99,0.848307,0.65
3,92,0.660516,0.83
3,77,0.973441,0.57
3,39,0.790631,0.7
3,70,0.843587,0.65
3,2,0.710609,0.77
3,11,0.847593,0.65
3,50,0.876941,0.63
3,64,1.0,0.55
4,23,0.674459,0.0
4,95,0.686733,0.0
4,37,0.704109,0.0
4,4,0.362976,0.0
4,1,0.700178,0.0
4,38,0.642284,0.0
4,72,0.367428,0.0
4,77,0.974915,0.0
4,13,0.233935,0.0
4,42,0.43768,0.0
4,36,0.277131,0.0
4,58,0.588904,0.0
4,82,0.800991,0.0
4,69,0.452144,0.0
4,67,0.75042,0.0
4,63,0.744345,0.0
4,17,0.190926,0.0
4,64,0.20543,0.0
4,59,0.353233,0.0
4,34,0.26416,0.0
4,24,0.367541,0.0
4,14,0.751532,0.0
4,90,0.83459,0.0
4,20,0.725533,0.0
4,88,0.439578,0.0
4,32,0.497847,0.0
4,99,0.726232,0.0
4,98,0.352424,0.0
4,43,0.665744,0.0
4,97,0.573167,0.0
4,79,0.248331,0.0
4,22,0.289193,0.0
4,51,0.67923,0.0
4,54,0.612476,0.0
4,65,0.621127,0.0
4,41,0.753571,0.0
4,11,0.460486,0.0
4,25,0.64494,0.0
4,92,1.0,0.0
4,6,0.762867,0.0
4,84,0.642469,0.0
4,8,0.608499,0.0
4,30,0.683459,0.0
4,76,0.337586,0.0
4,15,0.860587,0.0
4,0,0.513641,0.0
4,16,0.231023,0.0
4,86,0.817273,0.0
4,55,0.830845,0.0
4,28,0.657422,0.0
4,48,0.829169,0.0
4,83,0.731065,0.0
4,21,0.359761,0.0
4,19,0.497236,0.0
4,70,0.413685,0.0
4,89,0.261791,0.0
4,66,0.393045,0.0
4,53,0.48158,0.0
4,87,0.549895,0.0
4,73,0.720362,0.0
4,85,0.588909,0.0
4,3,0.563231,0.0
4,7,0.52055,0.0
4,29,0.836719,0.0
4,46,0.783728,0.0
4,10,0.840557,0.0
4,62,0.87589,0.0
4,74,0.45154,0.0
4,35,0.102725,0.0
4,68,0.783814,0.0
4,94,0.812551,0.0
4,56,0.55774,0.0
4,9,0.748581,0.0
4,81,0.987409,0.0
4,31,0.809609,0.0
4,45,0.784373,0.0
4,52,0.863017,0.0
4,96,0.450289,0.0
4,39,0.843059,0.0
4,57,0.742612,0.0
4,78,0.881344,0.0
4,26,0.950746,0.0
4,91,0.911504,0.0
5,84,0.243777,0.32
5,19,0.555435,0.14
5,91,0.411311,0.19
5,54,0.828536,0.09
5,48,0.388593,0.2
5,9,0.585536,0.13
5,57,0.609011,0.13
5,76,0.782736,0.1
5,61,0.331846,0.23
5,74,0.852495,0.09
5,51,0.409151,0.19
5,68,0.619505,0.13
5,64,0.794025,0.1
5,53,0.745755,0.1
5,69,0.830498,0.09
5,4,0.374457,0.21
5,46,0.585976,0.13
5,88,0.678015,0.11
5,92,0.869583,0.09
5,10,0.725254,0.11
5,13,0.913802,0.09
5,31,0.38382,0.2
5,45,0.678003,0.11
5,21,0.653222,0.12
5,5,0.48816,0.16
5,72,0.343517,0.23
5,89,0.932026,0.08
5,42,0.487963,0.16
5,55,0.413305,0.19
5,79,0.778911,0.1
5,1,0.591454,0.13
5,12,0.990556,0.08
5,33,0.741627,0.1
5,28,0.923583,0.08
5,65,0.580585,0.13
5,66,0.773828,0.1
5,93,0.833557,0.09
5,23,0.759634,0.1
5,25,0.556916,0.14
5,29,0.791516,0.1
5,49,0.803844,0.1
5,43,0.717468,0.11
5,37,0.415468,0.19
5,44,1.0,0.08
5,32,0.283543,0.27
5,94,0.53351,0.15
5,22,0.572666,0.14
5,85,0.719096,0.11
5,30,0.303417,0.26
5,6,0.910072,0.09
5,18,0.518787,0.15
5,26,0.725077,0.11
6,67,0.813641,0.28
6,72,0.204805,1.09
6,1,0.398607,0.56
6,78,0.684427,0.33
6,83,0.925911,0.24
6,21,0.527088,0.42
6,56,0.928791,0.24
6,44,0.919725,0.24
6,27,0.78668,0.28
6,80,0.905749,0.25
6,19,0.465739,0.48
6,52,0.693979,0.32
6,96,0.780966,0.29
6,93,0.596326,0.38
6,91,0.635461,0.35
6,11,0.358632,0.62
6,12,0.793403,0.28
6,17,0.444357,0.5
6,15,0.864596,0.26
6,75,1.0,0.22
6,49,0.135767,1.65
6,92,0.902774,0.25
6,54,0.887106,0.25
6,40,0.976762,0.23
6,82,0.306799,0.73
6,31,0.322752,0.69
6,35,0.579756,0.39
6,10,0.383837,0.58
7,75,0.6122,28.52
7,63,0.466032,37.46
7,25,0.715397,24.41
7,93,0.265663,65.72
7,69,0.743251,23.49
7,31,0.532834,32.77
7,19,0.904638,19.3
7,0,0.235584,74.11
7,52,0.791378,22.06
7,3,0.5877,29.71
7,29,0.613672,28.45
7,95,0.579808,30.11
7,44,0.398459,43.82
7,81,0.988404,17.66
7,1,0.532729,32.77
7,42,0.588278,29.68
7,92,0.569973,30.63
7,48,0.714609,24.43
7,39,0.46962,37.18
7,13,0.346068,50.45
7,26,0.550834,31.7
7,67,0.423259,41.25
7,30,0.433607,40.27
7,53,0.574802,30.37
7,62,0.53787,32.46
7,7,0.34059,51.26
7,18,0.214397,81.44
7,35,0.460346,37.93
7,11,0.660679,26.43
7,5,0.385431,45.3
7,89,0.770226,22.67
7,66,0.576503,30.29
7,91,0.749763,23.29
7,47,1.0,17.46
7,58,0.470958,37.07
7,10,0.256321,68.12
7,12,0.678677,25.73
7,32,0.445568,39.18
7,8,0.836743,20.87
7,40,0.582387,29.98
7,78,0.507366,34.41
7,97,0.597833,29.2
7,4,0.733081,23.82
7,37,0.7629,22.89
7,36,0.907524,19.24
7,90,0.84083,20.76
7,27,0.928613,18.8
7,84,0.616451,28.32
7,61,0.582195,29.99
7,15,0.386846,45.13
7,73,0.778216,22.44
7,16,0.402342,43.39
7,20,0.567366,30.77
7,65,0.898823,19.42
7,87,0.460791,37.89
7,68,0.607341,28.75
7,45,0.740808,23.57
7,28,0.724814,24.09
7,17,0.917101,19.04
7,14,0.787131,22.18
7,57,0.644862,27.07
7,98,0.923411,18.91
7,51,0.627137,27.84
7,6,0.150822,115.76
7,9,0.346522,50.39
7,55,0.219643,79.49
7,64,0.890877,19.6
8,77,0.754758,0.47
8,60,0.387253,0.92
8,4,0.738887,0.48
8,22,1.0,0.36
8,35,0.992654,0.36
8,51,0.790761,0.45
8,18,0.564306,0.63
8,79,0.935711,0.38
8,99,0.749984,0.47
8,87,0.533879,0.67
8,88,0.34945,1.02
8,94,0.708591,0.5
8,97,0.606912,0.59
8,50,0.563216,0.63
8,42,0.858267,0.41
8,30,0.295873,1.2
8,6,0.447453,0.79
8,98,0.517246,0.69
8,34,0.636437,0.56
8,47,0.228305,1.56
8,2,0.85202,0.42
8,43,0.863774,0.41
8,38,0.417472,0.85
8,39,0.460469,0.77
8,95,0.800388,0.44
8,62,0.574681,0.62
8,12,0.715826,0.5
8,29,0.748308,0.47
8,17,0.130891,2.72
8,91,0.584509,0.61
8,56,0.772945,0.46
8,41,0.376112,0.94
8,81,0.738568,0.48
8,53,0.739573,0.48
8,11,0.725136,0.49
8,24,0.403708,0.88
8,69,0.217288,1.64
8,13,0.247049,1.44
8,58,0.834495,0.43
8,52,0.577892,0.62
8,26,0.75374,0.47
8,80,0.663964,0.54
8,31,0.577281,0.62
8,48,0.499183,0.71
8,33,0.448778,0.79
8,23,0.458415,0.78
8,82,0.411223,0.86
8,3,0.543934,0.65
8,32,0.803288,0.44
8,86,0.118675,2.99
8,10,0.47219,0.75
8,90,0.705934,0.5
8,19,0.713488,0.5
8,45,0.766401,0.46
8,89,0.374956,0.95
8,25,0.753767,0.47
8,8,0.109957,3.23
8,55,0.69561,0.51
8,36,0.386883,0.92
8,1,0.652268,0.54
8,65,0.440683,0.81
